wall_time,local_time,x,y,route_progress_m,cross_track_m,signed_cross_track_m,heading_error_vs_csv_yaw_deg,odom_stamp_age_ms
1784986268.821144,2026-07-25T21:31:08.821+08:00,9.706510,0.060418,9.740911,0.020247,0.020247,0.265143,298.961
1784986268.921273,2026-07-25T21:31:08.921+08:00,9.759131,0.068404,9.793773,0.026446,0.026446,0.401879,299.730
1784986269.021215,2026-07-25T21:31:09.021+08:00,9.804829,0.073355,9.839611,0.029846,0.029846,0.078753,300.312
1784986269.121270,2026-07-25T21:31:09.121+08:00,9.862570,0.064628,9.897024,0.019167,0.019167,0.076332,301.007
1784986269.221183,2026-07-25T21:31:09.221+08:00,9.909923,0.060976,9.944226,0.013913,0.013913,0.161119,301.560
1784986269.321246,2026-07-25T21:31:09.321+08:00,9.954117,0.059306,9.988338,0.010747,0.010747,0.469339,302.263
1784986269.421293,2026-07-25T21:31:09.421+08:00,9.994972,0.059974,10.029192,0.010029,0.010029,0.421824,302.949
1784986269.521465,2026-07-25T21:31:09.521+08:00,10.051720,0.066008,10.086112,0.014138,0.014138,0.372398,303.762
1784986269.621249,2026-07-25T21:31:09.621+08:00,10.098355,0.074792,10.130418,0.022387,0.022387,0.253347,304.186
1784986269.721230,2026-07-25T21:31:09.721+08:00,10.137244,0.081507,10.168599,0.032375,0.032375,0.061613,304.806
1784986269.822738,2026-07-25T21:31:09.822+08:00,10.180407,0.080103,10.211726,0.034634,0.034634,0.234793,306.955
1784986269.921918,2026-07-25T21:31:09.921+08:00,10.221924,0.074260,10.253588,0.032330,0.032330,0.084615,306.820
1784986270.022440,2026-07-25T21:31:10.022+08:00,10.268907,0.068330,10.300904,0.030404,0.030404,0.169477,307.981
1784986270.171115,2026-07-25T21:31:10.171+08:00,10.315201,0.075478,10.346427,0.041450,0.041450,0.538590,357.252
1784986270.271251,2026-07-25T21:31:10.271+08:00,10.367568,0.071156,10.398971,0.041582,0.041582,0.331904,358.072
1784986270.371191,2026-07-25T21:31:10.371+08:00,10.417802,0.075019,10.448697,0.049689,0.049689,0.012913,358.608
1784986270.471269,2026-07-25T21:31:10.471+08:00,10.463515,0.075245,10.494226,0.053789,0.053789,0.073423,359.326
1784986270.571211,2026-07-25T21:31:10.571+08:00,10.506003,0.079151,10.536230,0.061282,0.061282,0.149662,359.908
1784986270.671232,2026-07-25T21:31:10.671+08:00,10.554037,0.087672,10.592228,0.072965,0.072965,0.378870,360.569
1784986270.771125,2026-07-25T21:31:10.771+08:00,10.613679,0.087317,10.651819,0.070483,0.070483,0.735299,361.102
1784986270.871254,2026-07-25T21:31:10.871+08:00,10.659928,0.091981,10.698205,0.073495,0.073495,0.418421,361.871
1784986270.971187,2026-07-25T21:31:10.971+08:00,10.703633,0.083988,10.741597,0.063949,0.063949,0.486117,362.444
1784986271.071271,2026-07-25T21:31:11.071+08:00,10.755682,0.075325,10.793304,0.053435,0.053435,0.920103,363.227
1784986271.171195,2026-07-25T21:31:11.171+08:00,10.807258,0.076029,10.844873,0.052299,0.052299,1.719886,363.732
1784986271.271508,2026-07-25T21:31:11.271+08:00,10.854361,0.082045,10.892160,0.056631,0.056631,1.721510,364.685
1784986271.371186,2026-07-25T21:31:11.371+08:00,10.901291,0.085415,10.939180,0.058325,0.058325,2.341629,365.003
1784986271.471249,2026-07-25T21:31:11.471+08:00,10.955512,0.085982,10.993387,0.056957,0.056957,2.589686,365.706
1784986271.571336,2026-07-25T21:31:11.571+08:00,11.011653,0.081603,11.049336,0.050579,0.050579,2.449459,366.433
1784986271.671277,2026-07-25T21:31:11.671+08:00,11.110894,0.082777,11.144610,0.054925,0.054925,1.925473,267.654
1784986271.771262,2026-07-25T21:31:11.771+08:00,11.162977,0.066684,11.197306,0.040970,0.040970,1.918677,268.279
1784986271.871243,2026-07-25T21:31:11.871+08:00,11.208614,0.064899,11.242978,0.041048,0.041048,2.235876,268.900
1784986271.971165,2026-07-25T21:31:11.971+08:00,11.245918,0.059320,11.280479,0.036995,0.036995,2.138906,269.684
1784986272.071250,2026-07-25T21:31:12.071+08:00,11.290678,0.062656,11.325065,0.042153,0.042153,2.382612,270.350
1784986272.171297,2026-07-25T21:31:12.171+08:00,11.341749,0.061646,11.376135,0.043227,0.043227,2.387253,272.373
1784986272.271951,2026-07-25T21:31:12.271+08:00,11.390193,0.058988,11.424647,0.042547,0.042547,1.760882,273.697
