1784731513.788775 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784731514.191919345] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784731514.194194867] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784731569.903244146] [unitree_safe_cmd_node]: Move x=0.500, y=-0.030, z=-0.004, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.28, clear_frames=511
[INFO] [1784731570.403430899] [unitree_safe_cmd_node]: Move x=0.500, y=-0.034, z=-0.005, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.33, clear_frames=516
[INFO] [1784731570.953105541] [unitree_safe_cmd_node]: Move x=0.500, y=-0.040, z=-0.005, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.29, clear_frames=522
[INFO] [1784731571.453210369] [unitree_safe_cmd_node]: Move x=0.500, y=-0.040, z=-0.005, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.30, clear_frames=527
[INFO] [1784731571.954818510] [unitree_safe_cmd_node]: Move x=0.500, y=-0.021, z=-0.054, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.33, clear_frames=532
[INFO] [1784731572.454348751] [unitree_safe_cmd_node]: Move x=0.500, y=-0.029, z=-0.004, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.37, clear_frames=536
[INFO] [1784731573.004832388] [unitree_safe_cmd_node]: Move x=0.500, y=-0.024, z=-0.063, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.33, clear_frames=540
[INFO] [1784731573.553269323] [unitree_safe_cmd_node]: Move x=0.500, y=-0.030, z=-0.004, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.34, clear_frames=544
[INFO] [1784731574.054947579] [unitree_safe_cmd_node]: Move x=0.500, y=-0.037, z=-0.019, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.28, clear_frames=549
[INFO] [1784731574.604221686] [unitree_safe_cmd_node]: Move x=0.500, y=-0.038, z=-0.059, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.34, clear_frames=554
[INFO] [1784731575.104856464] [unitree_safe_cmd_node]: Move x=0.500, y=-0.013, z=-0.003, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.37, clear_frames=559
[INFO] [1784731575.653124661] [unitree_safe_cmd_node]: Move x=0.500, y=-0.005, z=-0.002, stop_count=0, roi_count=4, lateral_count=0, nearest_x=1.39, clear_frames=563
[INFO] [1784731576.154289191] [unitree_safe_cmd_node]: Move x=0.500, y=-0.018, z=-0.003, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.33, clear_frames=568
[INFO] [1784731576.704934718] [unitree_safe_cmd_node]: Move x=0.500, y=-0.021, z=-0.003, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.45, clear_frames=573
[INFO] [1784731577.254934545] [unitree_safe_cmd_node]: Move x=0.500, y=-0.015, z=-0.003, stop_count=0, roi_count=15, lateral_count=0, nearest_x=1.29, clear_frames=579
[INFO] [1784731577.754862171] [unitree_safe_cmd_node]: Move x=0.500, y=-0.018, z=-0.003, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.40, clear_frames=584
[INFO] [1784731578.303359146] [unitree_safe_cmd_node]: Move x=0.500, y=-0.017, z=-0.003, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.37, clear_frames=589
[INFO] [1784731578.854506578] [unitree_safe_cmd_node]: Move x=0.500, y=-0.013, z=-0.003, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=594
[INFO] [1784731579.404235129] [unitree_safe_cmd_node]: Move x=0.500, y=-0.024, z=-0.004, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.42, clear_frames=598
[INFO] [1784731579.954195857] [unitree_safe_cmd_node]: Move x=0.500, y=-0.032, z=-0.004, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.35, clear_frames=602
[INFO] [1784731580.454401095] [unitree_safe_cmd_node]: Move x=0.500, y=-0.019, z=-0.003, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.32, clear_frames=606
[INFO] [1784731581.002979591] [unitree_safe_cmd_node]: Move x=0.500, y=-0.031, z=-0.004, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.36, clear_frames=612
[INFO] [1784731581.504571393] [unitree_safe_cmd_node]: Move x=0.500, y=-0.029, z=-0.004, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.33, clear_frames=618
[INFO] [1784731582.053415043] [unitree_safe_cmd_node]: Move x=0.500, y=-0.033, z=-0.004, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.33, clear_frames=624
[INFO] [1784731582.603751762] [unitree_safe_cmd_node]: Move x=0.500, y=-0.037, z=-0.005, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.34, clear_frames=630
[INFO] [1784731583.152843503] [unitree_safe_cmd_node]: Move x=0.500, y=-0.023, z=-0.004, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.36, clear_frames=637
[INFO] [1784731583.653236429] [unitree_safe_cmd_node]: Move x=0.500, y=-0.020, z=-0.003, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.32, clear_frames=642
[INFO] [1784731584.153807794] [unitree_safe_cmd_node]: Move x=0.500, y=-0.031, z=-0.004, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.35, clear_frames=648
[INFO] [1784731584.655125733] [unitree_safe_cmd_node]: Move x=0.500, y=-0.022, z=-0.004, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.34, clear_frames=654
[INFO] [1784731585.203838700] [unitree_safe_cmd_node]: Move x=0.500, y=-0.027, z=-0.004, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.36, clear_frames=660
[INFO] [1784731585.753206439] [unitree_safe_cmd_node]: Move x=0.500, y=-0.026, z=-0.004, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.39, clear_frames=667
